T l'air à deux mètres du sol (°C),T ressentie au vent (°C),T du point de rosée (°C),Direction du vent (km/h),Vitesse du vent lors de la mesure (km/h),Vitesse du vent maximum sur la dernière heure (km/h),Humidité relative (%),Visibilité (Km),Datetime,Pression,Variation_pression_3h,Nebulosite,Degradation_meteo,Pluie_presence,Pluie_moyenne_par_heure,Intensite_pluie
8.9,6.6,6.7,SSO,14.8,25.9,86,18.0,2025-01-28 12:00:00,993.9,0.6,8.0,0,1,0.01,Faible
8.1,5.9,6.1,SSO,13.0,27.8,87,10.0,2025-01-28 11:00:00,994.1,1.0,8.0,0,1,0.01,Faible
7.7,5.1,5.7,SSO,14.8,25.9,87,12.0,2025-01-28 10:00:00,993.7,0.6,8.0,0,1,0.01,Faible
7.2,4.8,5.2,SSO,13.0,29.6,87,15.0,2025-01-28 09:00:00,993.4,0.2,7.0,0,1,0.33,Faible
7.0,4.5,4.6,S,13.0,25.9,85,12.0,2025-01-28 08:00:00,993.1,-0.1,8.0,0,1,0.6,Faible
7.0,4.2,4.3,S,14.8,25.9,83,20.0,2025-01-28 07:00:00,993.1,0.1,7.0,0,1,0.01,Faible
7.4,4.7,3.4,S,14.8,25.9,76,20.0,2025-01-28 06:00:00,993.2,1.5,7.0,0,0,0.0,Aucune
7.5,4.6,3.4,S,16.7,31.5,75,20.0,2025-01-28 05:00:00,993.2,0.0,6.0,0,0,0.0,Aucune
7.2,4.8,4.2,S,13.0,24.1,81,29.0,2025-01-28 04:00:00,,-1.0,7.0,0,0,0.0,Aucune
7.5,4.6,3.9,SO,16.7,31.5,78,30.0,2025-01-28 03:00:00,991.7,-2.2,,1,0,0.0,Aucune
8.2,6.3,4.2,SSO,11.1,33.3,76,30.0,2025-01-28 02:00:00,993.1,-1.0,7.0,0,0,0.0,Aucune
7.7,5.1,4.1,SSO,14.8,29.6,78,40.0,2025-01-28 01:00:00,,-0.8,5.0,0,0,0.0,Aucune
7.8,5.2,4.7,SSO,14.8,27.8,81,20.0,2025-01-28 00:00:00,993.9,-0.7,5.0,0,0,0.0,Aucune
7.1,6.3,6.4,S,5.6,11.1,95,5.0,2025-01-29 23:00:00,1006.8,0.9,8.0,0,1,1.0,Faible
7.2,6.4,6.3,S,5.6,13.0,94,8.0,2025-01-29 22:00:00,1006.2,0.7,8.0,0,1,0.4,Faible
7.2,5.9,6.5,SSE,7.4,13.0,95,15.0,2025-01-29 21:00:00,1005.8,0.5,7.0,0,1,0.67,Faible
7.2,5.9,6.5,SSE,7.4,13.0,95,15.0,2025-01-29 20:00:00,1005.9,0.3,7.0,0,1,0.8,Faible
7.3,6.0,6.6,SSE,7.4,14.8,95,15.0,2025-01-29 19:00:00,1005.5,0.1,7.0,0,1,0.4,Faible
7.4,6.1,6.7,SSE,7.4,13.0,95,15.0,2025-01-29 18:00:00,1005.3,-0.1,8.0,0,1,1.0,Faible
7.5,5.8,6.8,S,9.3,16.7,95,10.0,2025-01-29 17:00:00,1005.6,0.0,8.0,0,1,1.0,Faible
7.6,6.3,6.7,S,7.4,14.8,94,7.0,2025-01-29 16:00:00,1005.4,-0.6,8.0,0,1,1.0,Faible
7.6,6.3,6.7,S,7.4,18.5,94,6.0,2025-01-29 15:00:00,1005.4,-1.7,8.0,0,1,1.67,Faible
7.6,5.9,6.8,SSE,9.3,20.4,95,6.0,2025-01-29 14:00:00,1005.6,-2.6,8.0,1,1,2.0,Faible
7.6,5.9,6.5,SSE,9.3,16.7,93,10.0,2025-01-29 13:00:00,,-2.5,8.0,0,1,0.6,Faible
7.6,6.3,6.1,S,7.4,14.8,90,12.0,2025-01-29 12:00:00,1007.1,-1.3,8.0,0,1,0.13,Faible
7.5,6.2,5.3,S,7.4,14.8,86,17.0,2025-01-29 11:00:00,1008.2,-0.1,8.0,0,1,0.01,Faible
7.2,5.4,5.0,SSO,9.3,14.8,86,18.0,2025-01-29 10:00:00,1008.5,0.2,7.0,0,0,0.0,Aucune
6.4,4.9,4.6,SSO,7.4,14.8,88,12.0,2025-01-29 09:00:00,1008.5,0.2,7.0,0,0,0.0,Aucune
5.8,4.2,4.3,SSO,7.4,14.8,90,13.0,2025-01-29 08:00:00,1008.4,0.6,6.0,0,0,0.0,Aucune
5.8,4.2,3.8,SO,7.4,16.7,87,15.0,2025-01-29 07:00:00,1008.4,1.5,2.0,0,0,0.0,Aucune
6.4,4.5,4.2,SO,9.3,18.5,86,15.0,2025-01-29 06:00:00,1008.3,1.7,3.0,0,1,0.01,Faible
7.4,5.3,4.9,SO,11.1,18.5,84,15.0,2025-01-29 05:00:00,1007.7,2.0,7.0,0,0,0.0,Aucune
7.7,5.7,5.5,SO,11.1,18.5,86,27.0,2025-01-29 04:00:00,1006.8,2.0,8.0,0,1,0.01,Faible
8.0,5.7,5.8,OSO,13.0,20.4,86,14.0,2025-01-29 03:00:00,1006.5,2.7,8.0,0,1,0.01,Faible
8.2,5.7,5.0,O,14.8,25.9,80,50.0,2025-01-29 02:00:00,1005.7,3.3,6.0,0,0,0.0,Aucune
8.4,6.5,5.7,SO,11.1,24.1,83,15.0,2025-01-29 01:00:00,1004.8,3.7,7.0,0,0,0.0,Aucune
8.7,6.6,5.1,O,13.0,29.6,78,45.0,2025-01-29 00:00:00,1003.7,4.6,7.0,0,1,0.67,Faible
2.4,2.4,0.8,O,3.7,5.6,89,25.0,2025-01-30 23:00:00,1028.3,1.9,0.0,0,0,0.0,Aucune
2.8,2.8,1.2,O,3.7,9.3,89,25.0,2025-01-30 22:00:00,1027.6,2.0,0.0,0,0,0.0,Aucune
3.2,3.2,1.4,NNO,3.7,11.1,88,25.0,2025-01-30 21:00:00,,2.7,0.0,0,0,0.0,Aucune
6.1,4.6,2.7,NNO,7.4,14.8,79,25.0,2025-01-30 20:00:00,1026.2,3.1,6.0,0,0,0.0,Aucune
6.7,5.8,3.5,NNO,5.6,13.0,80,25.0,2025-01-30 19:00:00,1025.5,3.5,7.0,0,0,0.0,Aucune
6.7,5.3,4.2,NO,7.4,16.7,84,25.0,2025-01-30 18:00:00,1024.1,3.3,7.0,0,0,0.01,Faible
6.6,4.7,3.7,NNO,9.3,16.7,82,50.0,2025-01-30 17:00:00,,3.3,7.0,0,0,0.0,Aucune
7.3,5.5,3.7,NNO,9.3,18.5,78,25.0,2025-01-30 16:00:00,1021.9,3.0,7.0,0,0,0.0,Aucune
7.2,5.9,3.8,N,7.4,16.7,79,25.0,2025-01-30 15:00:00,1020.8,3.3,7.0,0,1,0.01,Faible
6.8,4.6,3.8,N,11.1,20.4,81,25.0,2025-01-30 14:00:00,1019.7,3.2,7.0,0,0,0.0,Aucune
6.5,5.0,4.5,N,7.4,16.7,87,20.0,2025-01-30 13:00:00,1018.9,3.2,7.0,0,1,0.01,Faible
6.7,4.5,5.0,NNO,11.1,18.5,89,15.0,2025-01-30 12:00:00,1017.5,2.8,8.0,0,1,0.01,Faible
8.1,7.4,5.9,ONO,5.6,13.0,86,35.0,2025-01-30 11:00:00,1016.4,2.7,7.0,0,0,0.0,Aucune
7.7,6.9,6.5,O,5.6,13.0,92,27.0,2025-01-30 10:00:00,1015.6,2.7,7.0,0,0,0.0,Aucune
7.1,6.3,6.4,O,5.6,9.3,95,19.0,2025-01-30 09:00:00,1014.6,2.9,6.0,0,1,0.01,Faible
5.2,5.2,4.8,OSO,3.7,7.4,97,20.0,2025-01-30 08:00:00,1013.8,2.7,6.0,0,0,0.0,Aucune
5.4,4.3,5.0,OSO,5.6,9.3,97,20.0,2025-01-30 07:00:00,,2.7,7.0,0,1,0.01,Faible
5.0,5.0,4.6,OSO,3.7,7.4,97,15.0,2025-01-30 06:00:00,1011.8,2.5,5.0,0,0,0.0,Aucune
5.4,5.4,5.0,SSO,3.7,7.4,97,15.0,2025-01-30 05:00:00,,2.5,4.0,0,0,0.0,Aucune
5.6,5.6,5.2,S,1.9,5.6,97,4.5,2025-01-30 04:00:00,1010.2,2.2,,0,0,0.0,Aucune
6.4,6.4,5.8,SSO,3.7,7.4,96,11.0,2025-01-30 03:00:00,1009.2,1.6,,0,1,0.07,Faible
6.5,6.5,5.9,S,3.7,7.4,96,30.0,2025-01-30 02:00:00,1008.5,1.6,7.0,0,0,0.0,Aucune
6.9,6.9,6.5,SSE,3.7,7.4,97,15.0,2025-01-30 01:00:00,1007.9,1.7,7.0,0,1,0.01,Faible
7.0,7.0,6.4,S,3.7,9.3,96,9.0,2025-01-30 00:00:00,1007.5,1.7,8.0,0,1,0.67,Faible
2.5,2.5,1.9,E,3.7,5.6,96,10.0,2025-01-31 23:00:00,1030.2,1.2,7.0,0,1,0.01,Faible
2.4,2.4,1.8,SE,1.9,5.6,96,12.0,2025-01-31 22:00:00,1029.9,0.7,7.0,0,1,0.2,Faible
2.4,2.4,1.8,S,3.7,9.3,96,15.0,2025-01-31 21:00:00,1029.8,0.7,8.0,0,1,0.07,Faible
2.2,0.7,1.6,SSE,5.6,9.3,96,10.0,2025-01-31 20:00:00,,0.2,8.0,0,1,0.01,Faible
2.1,0.5,1.4,S,5.6,14.8,95,10.0,2025-01-31 19:00:00,1029.2,0.7,8.0,0,1,0.2,Faible
2.4,0.3,1.4,S,7.4,14.8,93,10.0,2025-01-31 18:00:00,1029.1,0.6,8.0,0,1,0.33,Faible
2.9,0.8,1.7,S,7.4,16.7,92,10.0,2025-01-31 17:00:00,1028.7,0.5,8.0,0,1,0.2,Faible
3.2,1.2,1.9,SSE,7.4,13.0,91,10.0,2025-01-31 16:00:00,1028.4,-0.2,8.0,0,1,0.4,Faible
3.8,2.5,1.5,S,5.6,13.0,85,7.0,2025-01-31 15:00:00,1028.4,-0.9,8.0,0,1,0.27,Faible
5.6,3.5,1.7,SSO,9.3,14.8,76,25.0,2025-01-31 14:00:00,1028.1,-1.4,8.0,0,1,0.01,Faible
6.1,4.6,0.6,S,7.4,13.0,68,25.0,2025-01-31 13:00:00,1028.5,-1.3,8.0,0,1,0.01,Faible
5.7,4.1,0.5,SSO,7.4,11.1,69,25.0,2025-01-31 12:00:00,1029.2,-0.3,8.0,0,0,0.0,Aucune
5.4,4.3,1.1,S,5.6,14.8,74,45.0,2025-01-31 11:00:00,1029.6,-0.1,8.0,0,0,0.0,Aucune
3.1,3.1,1.6,S,1.9,5.6,90,15.0,2025-01-31 10:00:00,,0.1,8.0,0,0,0.0,Aucune
2.1,2.1,1.2,SSE,3.7,5.6,94,15.0,2025-01-31 09:00:00,1029.7,0.3,7.0,0,0,0.0,Aucune
1.4,1.4,0.7,S,3.7,7.4,95,15.0,2025-01-31 08:00:00,1029.8,0.3,7.0,0,0,0.0,Aucune
0.8,0.8,0.1,SO,3.7,5.6,95,7.0,2025-01-31 07:00:00,1029.9,0.7,6.0,0,0,0.0,Aucune
0.5,0.5,0.1,SO,3.7,3.7,97,9.0,2025-01-31 05:00:00,1029.6,0.7,7.0,0,0,0.0,Aucune
0.4,0.4,-0.2,OSO,3.7,5.6,96,2.8,2025-01-31 04:00:00,1029.3,0.4,8.0,0,0,0.0,Aucune
0.6,0.6,--,SSO,3.7,7.4,--,8.0,2025-01-31 03:00:00,1028.6,0.1,,0,0,0.0,Aucune
0.8,0.8,-0.1,O,1.9,7.4,94,6.0,2025-01-31 02:00:00,1028.8,0.5,,0,0,0.0,Aucune
1.5,-0.1,0.3,O,5.6,7.4,92,10.0,2025-01-31 01:00:00,1028.8,1.1,0.0,0,0,0.0,Aucune
1.8,1.8,0.6,O,3.7,5.6,92,25.0,2025-01-31 00:00:00,1028.5,1.4,0.0,0,0,0.0,Aucune
1.4,1.4,-1.5,N,1.9,5.6,81,16.0,2025-02-01 23:00:00,1026.5,-1.5,0.0,0,0,0.0,Aucune
1.9,1.9,-1.2,ENE,3.7,7.4,80,11.0,2025-02-01 22:00:00,1026.9,-1.1,0.0,0,0,0.0,Aucune
2.2,0.7,-0.7,ENE,5.6,7.4,81,17.0,2025-02-01 21:00:00,1027.5,-0.5,0.0,0,0,0.0,Aucune
2.3,0.8,-0.5,ENE,5.6,7.4,82,18.0,2025-02-01 20:00:00,,-0.1,0.0,0,0,0.0,Aucune
3.1,1.7,-0.2,NE,5.6,9.3,79,20.0,2025-02-01 19:00:00,1027.9,-0.1,0.0,0,0,0.0,Aucune
3.8,2.5,--,NE,5.6,11.1,--,16.0,2025-02-01 18:00:00,1027.9,-0.3,0.0,0,0,0.0,Aucune
4.6,3.4,0.4,NE,5.6,9.3,74,15.0,2025-02-01 17:00:00,,-0.4,0.0,0,0,0.0,Aucune
6.4,4.9,-0.6,NE,7.4,11.1,61,24.0,2025-02-01 16:00:00,1027.9,-1.1,0.0,0,0,0.0,Aucune
7.3,6.5,-0.9,NNE,5.6,11.1,56,15.0,2025-02-01 15:00:00,1028.1,-1.4,0.0,0,0,0.0,Aucune
7.1,6.3,-0.4,NE,5.6,11.1,59,15.0,2025-02-01 14:00:00,1028.3,-1.8,0.0,0,0,0.0,Aucune
6.5,5.0,0.8,ENE,7.4,11.1,67,15.0,2025-02-01 13:00:00,,-1.3,0.0,0,0,0.0,Aucune
5.7,4.1,0.8,ENE,7.4,11.1,71,15.0,2025-02-01 12:00:00,1029.5,-0.9,0.0,0,0,0.0,Aucune
4.9,3.7,1.9,NE,5.6,9.3,81,12.0,2025-02-01 11:00:00,1030.2,-0.1,0.0,0,0,0.0,Aucune
3.4,3.4,1.0,NE,3.7,9.3,84,10.0,2025-02-01 10:00:00,1030.4,0.3,0.0,0,0,0.0,Aucune
1.7,1.7,0.2,NNE,3.7,9.3,90,9.0,2025-02-01 09:00:00,1030.6,0.4,0.0,0,0,0.0,Aucune
-0.1,-0.1,-0.4,NNE,3.7,9.3,98,6.0,2025-02-01 08:00:00,1030.5,0.2,0.0,0,0,0.0,Aucune
-0.6,-0.6,-0.9,N,3.7,7.4,98,5.0,2025-02-01 07:00:00,1030.3,0.4,0.0,0,0,0.0,Aucune
-0.3,-0.3,-0.9,N,1.9,3.7,96,4.0,2025-02-01 06:00:00,1030.3,0.2,,0,0,0.0,Aucune
0.8,0.8,0.2,NNE,1.9,3.7,96,8.0,2025-02-01 05:00:00,1030.3,0.1,0.0,0,0,0.0,Aucune
1.0,1.0,0.6,N,1.9,3.7,97,2.6,2025-02-01 04:00:00,1029.8,-0.6,,0,0,0.0,Aucune
0.8,0.8,0.1,NE,1.9,3.7,95,6.0,2025-02-01 03:00:00,1030.1,-0.8,,0,0,0.0,Aucune
2.0,2.0,1.4,E,1.9,5.6,96,10.0,2025-02-01 02:00:00,1030.1,0.1,,0,0,0.0,Aucune
2.4,2.4,1.8,E,3.7,7.4,96,10.0,2025-02-01 01:00:00,1030.4,0.5,7.0,0,0,0.0,Aucune
2.5,2.5,1.9,ENE,1.9,5.6,96,6.0,2025-02-01 00:00:00,1030.8,1.0,7.0,0,1,0.07,Faible
1.2,1.2,-0.1,NNE,3.7,5.6,91,5.0,2025-02-02 23:00:00,1027.5,1.5,0.0,0,0,0.0,Aucune
1.7,1.7,0.2,E,1.9,1.9,90,6.0,2025-02-02 22:00:00,1026.8,1.4,0.0,0,0,0.0,Aucune
1.8,1.8,0.5,SSE,1.9,5.6,91,4.4,2025-02-02 21:00:00,1026.2,1.2,0.0,0,0,0.0,Aucune
2.4,2.4,0.8,E,1.9,3.7,89,9.0,2025-02-02 20:00:00,1025.9,1.5,0.0,0,0,0.0,Aucune
1.4,1.4,0.1,ENE,1.9,3.7,91,10.0,2025-02-02 19:00:00,1025.4,1.2,0.0,0,0,0.0,Aucune
2.7,2.7,0.1,ESE,1.9,3.7,83,15.0,2025-02-02 18:00:00,1024.9,1.2,0.0,0,0,0.0,Aucune
5.0,5.0,1.1,SE,3.7,5.6,76,14.0,2025-02-02 17:00:00,1024.3,0.8,,0,0,0.0,Aucune
6.4,6.4,1.3,E,3.7,7.4,70,18.0,2025-02-02 16:00:00,,0.8,,0,0,0.0,Aucune
7.4,7.4,1.5,ENE,1.9,5.6,66,15.0,2025-02-02 15:00:00,1023.5,0.4,,0,0,0.0,Aucune
7.7,7.7,1.3,E,1.9,5.6,64,16.0,2025-02-02 14:00:00,1023.4,0.1,,0,0,0.0,Aucune
6.9,6.9,1.4,SSE,1.9,7.4,68,13.0,2025-02-02 13:00:00,1023.1,-0.1,,0,0,0.0,Aucune
5.8,5.8,0.7,SE,3.7,7.4,70,11.0,2025-02-02 12:00:00,1023.2,-0.3,,0,0,0.0,Aucune
3.9,3.9,0.4,ESE,1.9,5.6,78,11.0,2025-02-02 11:00:00,1023.4,-0.4,,0,0,0.0,Aucune
1.8,1.8,-0.5,E,3.7,5.6,85,8.0,2025-02-02 10:00:00,1023.4,-0.1,,0,0,0.0,Aucune
0.7,0.7,-1.2,ENE,1.9,3.7,87,7.0,2025-02-02 09:00:00,1023.7,0.3,,0,0,0.0,Aucune
-1.2,-1.2,-1.6,SE,1.9,3.7,97,5.0,2025-02-02 08:00:00,1024.1,0.4,,0,0,0.0,Aucune
-2.7,-2.7,-3.4,E,1.9,3.7,95,6.0,2025-02-02 07:00:00,1023.7,-0.5,,0,0,0.0,Aucune
-2.1,-2.1,-2.9,NE,3.7,3.7,94,12.0,2025-02-02 06:00:00,1023.5,-1.2,0.0,0,0,0.0,Aucune
-2.6,-2.6,-3.3,E,1.9,3.7,95,12.0,2025-02-02 05:00:00,1023.7,-1.3,0.0,0,0,0.0,Aucune
-2.3,-2.3,-3.4,NNO,1.9,3.7,92,4.7,2025-02-02 04:00:00,1024.2,-1.2,0.0,0,0,0.0,Aucune
-2.5,-2.5,-3.5,NNO,0.0,1.9,93,12.0,2025-02-02 03:00:00,1024.7,-1.3,0.0,0,0,0.0,Aucune
-1.4,-1.4,-2.8,N,1.9,1.9,90,8.0,2025-02-02 02:00:00,,-1.6,,0,0,0.0,Aucune
0.2,0.2,-1.7,NNE,1.9,1.9,87,9.0,2025-02-02 01:00:00,1025.3,-1.6,,0,0,0.0,Aucune
-0.9,-0.9,-2.6,NNE,1.9,3.7,88,9.0,2025-02-02 00:00:00,,-1.6,,0,0,0.0,Aucune
-0.4,-0.4,-0.5,SE,3.7,5.6,99,0.1,2025-02-03 23:00:00,1029.5,-0.1,,0,0,0.0,Aucune
-0.3,-0.3,-0.4,SSE,3.7,5.6,99,0.1,2025-02-03 22:00:00,1029.6,0.1,,0,0,0.0,Aucune
-0.3,-0.3,-0.4,S,3.7,7.4,99,0.1,2025-02-03 21:00:00,1029.7,0.8,,0,0,0.0,Aucune
-0.5,-0.5,-0.6,SE,3.7,7.4,99,0.1,2025-02-03 20:00:00,1029.6,1.2,,0,0,0.0,Aucune
0.0,-1.9,-0.3,SE,5.6,9.3,98,0.1,2025-02-03 19:00:00,1029.5,1.4,,0,0,0.0,Aucune
0.7,-1.1,0.4,SSE,5.6,9.3,98,0.1,2025-02-03 18:00:00,1028.8,0.9,,0,0,0.0,Aucune
1.1,1.1,0.7,SE,3.7,9.3,97,0.5,2025-02-03 17:00:00,1028.3,0.4,8.0,0,0,0.0,Aucune
2.4,0.9,0.9,E,5.6,9.3,90,6.0,2025-02-03 16:00:00,,-0.4,1.0,0,0,0.0,Aucune
3.7,2.4,1.1,SE,5.6,9.3,83,9.0,2025-02-03 15:00:00,1027.8,-0.9,1.0,0,0,0.0,Aucune
5.0,5.0,1.3,S,3.7,7.4,77,10.0,2025-02-03 14:00:00,1027.8,-1.4,1.0,0,0,0.0,Aucune
4.2,4.2,0.9,SSE,3.7,7.4,79,5.0,2025-02-03 13:00:00,1028.3,-0.7,0.0,0,0,0.0,Aucune
6.4,6.4,2.1,SSE,1.9,5.6,74,9.0,2025-02-03 12:00:00,1028.6,0.0,0.0,0,0,0.0,Aucune
4.6,4.6,1.3,SSE,3.7,5.6,79,5.0,2025-02-03 11:00:00,1029.2,0.9,,0,0,0.0,Aucune
2.6,2.6,0.5,S,3.7,5.6,86,4.5,2025-02-03 10:00:00,1029.1,1.0,0.0,0,0,0.0,Aucune
0.4,0.4,-0.5,S,1.9,3.7,94,1.8,2025-02-03 09:00:00,1028.9,0.8,,0,0,0.0,Aucune
-1.3,-1.3,-1.4,S,1.9,3.7,99,2.5,2025-02-03 08:00:00,1028.5,0.6,0.0,0,0,0.0,Aucune
-2.3,-2.3,-2.6,NNO,0.0,3.7,98,0.7,2025-02-03 07:00:00,1028.3,0.7,0.0,0,0,0.0,Aucune
-2.8,-2.8,-3.2,ONO,1.9,1.9,97,0.5,2025-02-03 06:00:00,1028.2,0.9,0.0,0,0,0.0,Aucune
-2.2,-2.2,-2.6,O,1.9,1.9,97,0.1,2025-02-03 05:00:00,,0.7,1.0,0,0,0.0,Aucune
-1.8,-1.8,-2.1,NNO,0.0,1.9,98,0.0,2025-02-03 04:00:00,1027.5,0.0,,0,0,0.0,Aucune
-1.4,-1.4,-1.7,NO,1.9,1.9,98,0.1,2025-02-03 03:00:00,1027.2,-0.6,,0,0,0.0,Aucune
-0.8,-0.8,-0.9,S,1.9,1.9,99,0.7,2025-02-03 02:00:00,1027.2,-0.4,,0,0,0.0,Aucune
-1.4,-1.4,-2.0,O,1.9,3.7,96,3.2,2025-02-03 01:00:00,1027.5,0.6,0.0,0,0,0.0,Aucune
-0.6,-0.6,-1.3,OSO,1.9,3.7,95,3.2,2025-02-03 00:00:00,1027.8,1.5,0.0,0,0,0.0,Aucune
1.5,-0.1,1.5,S,5.6,9.3,100,0.3,2025-02-04 23:00:00,1033.8,1.9,,0,0,0.0,Aucune
1.4,1.4,1.3,S,3.7,11.1,99,0.2,2025-02-04 22:00:00,1033.3,1.9,,0,0,0.0,Aucune
1.5,-0.1,1.4,SSO,5.6,11.1,99,0.2,2025-02-04 21:00:00,1032.5,1.5,,0,0,0.0,Aucune
1.8,0.2,1.7,S,5.6,11.1,99,0.3,2025-02-04 20:00:00,1031.8,0.9,,0,0,0.0,Aucune
1.7,0.1,1.6,S,5.6,9.3,99,1.4,2025-02-04 19:00:00,1031.3,0.9,8.0,0,0,0.0,Aucune
1.6,-0.0,1.5,S,5.6,11.1,99,4.5,2025-02-04 18:00:00,,1.0,8.0,0,0,0.01,Faible
1.5,-0.1,1.2,S,5.6,7.4,98,4.0,2025-02-04 17:00:00,1030.9,1.2,8.0,0,0,0.0,Aucune
1.0,-0.7,0.9,SSO,5.6,11.1,99,3.0,2025-02-04 16:00:00,1030.4,0.9,8.0,0,0,0.0,Aucune
1.1,-0.6,1.0,S,5.6,9.3,99,2.0,2025-02-04 15:00:00,,0.1,8.0,0,1,0.01,Faible
1.0,-0.7,0.9,S,5.6,9.3,99,0.8,2025-02-04 14:00:00,1029.7,-0.7,8.0,0,1,0.01,Faible
0.7,-1.1,0.6,S,5.6,9.3,99,0.8,2025-02-04 13:00:00,1029.5,-0.7,8.0,0,1,0.01,Faible
0.2,-2.3,0.1,S,7.4,11.1,99,0.5,2025-02-04 12:00:00,,-0.3,,0,0,0.0,Aucune
-0.2,-2.1,-0.3,S,5.6,9.3,99,0.5,2025-02-04 11:00:00,1030.5,0.4,,0,0,0.0,Aucune
-0.8,-2.8,-0.9,SSE,5.6,9.3,99,0.5,2025-02-04 10:00:00,1030.3,0.5,,0,0,0.0,Aucune
-1.1,-3.1,-1.2,S,5.6,9.3,99,0.5,2025-02-04 09:00:00,1030.3,0.9,,0,0,0.0,Aucune
-1.2,-3.2,-1.3,S,5.6,9.3,99,0.5,2025-02-04 08:00:00,1030.1,0.6,,0,0,0.0,Aucune
-1.4,-1.4,-1.5,S,3.7,7.4,99,0.1,2025-02-04 07:00:00,1029.8,0.4,,0,0,0.0,Aucune
-1.4,-1.4,-1.5,SSE,3.7,9.3,99,0.1,2025-02-04 06:00:00,1029.4,0.2,,0,0,0.0,Aucune
-1.3,-3.3,-1.4,S,5.6,9.3,99,0.1,2025-02-04 05:00:00,1029.5,0.0,,0,0,0.0,Aucune
-1.1,-3.1,-1.2,S,5.6,9.3,99,0.1,2025-02-04 04:00:00,1029.4,-0.2,,0,0,0.0,Aucune
-1.0,-3.0,-1.1,S,5.6,9.3,99,0.1,2025-02-04 03:00:00,1029.2,-0.5,,0,0,0.0,Aucune
-0.8,-2.8,-0.9,SE,5.6,9.3,99,0.1,2025-02-04 02:00:00,1029.5,0.0,,0,0,0.0,Aucune
-0.4,-2.3,-0.5,SE,5.6,11.1,99,0.1,2025-02-04 01:00:00,1029.6,0.0,,0,0,0.0,Aucune
-0.5,-2.4,-0.6,SE,5.6,7.4,99,0.1,2025-02-04 00:00:00,1029.7,0.0,,0,0,0.0,Aucune
4.0,2.7,2.8,ENE,5.6,9.3,92,8.0,2025-02-05 23:00:00,1041.4,-0.4,8.0,0,0,0.0,Aucune
4.3,3.1,3.0,NE,5.6,11.1,91,5.0,2025-02-05 22:00:00,1041.8,0.2,8.0,0,0,0.0,Aucune
4.2,2.4,3.3,NNE,7.4,11.1,94,5.0,2025-02-05 21:00:00,1042.1,0.4,8.0,0,0,0.0,Aucune
4.6,3.4,3.9,ENE,5.6,9.3,95,5.0,2025-02-05 20:00:00,1041.8,0.7,8.0,0,0,0.0,Aucune
5.1,4.0,4.1,NE,5.6,11.1,93,5.0,2025-02-05 19:00:00,1041.6,1.0,8.0,0,0,0.0,Aucune
5.5,4.4,4.3,NE,5.6,13.0,92,9.0,2025-02-05 18:00:00,1041.7,1.5,8.0,0,0,0.01,Faible
5.6,4.5,4.1,NNE,5.6,11.1,90,9.0,2025-02-05 17:00:00,1041.1,1.3,7.0,0,0,0.0,Aucune
5.8,4.8,4.3,NNE,5.6,9.3,90,10.0,2025-02-05 16:00:00,1040.6,0.7,7.0,0,0,0.0,Aucune
5.8,5.8,4.6,N,3.7,9.3,92,7.0,2025-02-05 15:00:00,1040.1,0.5,7.0,0,0,0.0,Aucune
6.0,5.0,5.3,N,5.6,9.3,95,5.0,2025-02-05 14:00:00,1039.7,0.2,8.0,0,0,0.0,Aucune
5.7,5.7,5.4,NNO,3.7,9.3,98,3.5,2025-02-05 13:00:00,1039.8,0.4,8.0,0,0,0.0,Aucune
5.4,5.4,5.1,ENE,3.7,5.6,98,1.2,2025-02-05 12:00:00,1039.7,0.6,8.0,0,0,0.01,Faible
5.0,5.0,4.7,ESE,3.7,9.3,98,3.0,2025-02-05 11:00:00,1039.6,1.0,8.0,0,0,0.0,Aucune
4.3,4.3,4.2,N,3.7,5.6,99,3.0,2025-02-05 10:00:00,1039.5,1.9,8.0,0,0,0.0,Aucune
3.7,3.7,3.6,N,1.9,3.7,99,1.0,2025-02-05 09:00:00,1039.1,2.1,8.0,0,1,0.01,Faible
3.0,3.0,2.9,S,1.9,3.7,99,1.4,2025-02-05 08:00:00,1038.6,2.1,8.0,0,0,0.0,Aucune
2.5,2.5,2.4,SO,1.9,3.7,99,2.7,2025-02-05 07:00:00,1037.7,2.1,8.0,0,1,0.01,Faible
2.4,2.4,2.3,S,1.9,3.7,99,2.7,2025-02-05 06:00:00,1037.1,1.7,8.0,0,1,0.01,Faible
2.1,2.1,2.0,SSO,1.9,5.6,99,5.0,2025-02-05 05:00:00,1036.6,1.6,8.0,0,0,0.0,Aucune
1.9,1.9,1.8,S,3.7,5.6,99,3.9,2025-02-05 04:00:00,1035.6,0.8,8.0,0,0,0.0,Aucune
1.7,1.7,1.6,S,3.7,7.4,99,3.7,2025-02-05 03:00:00,1035.4,1.0,8.0,0,1,0.07,Faible
1.5,-0.1,1.4,S,5.6,7.4,99,1.6,2025-02-05 02:00:00,,1.2,8.0,0,1,0.2,Faible
1.4,-0.3,1.3,S,5.6,7.4,99,3.5,2025-02-05 01:00:00,1034.8,1.5,8.0,0,0,0.0,Aucune
1.4,1.4,1.4,S,3.7,7.4,100,1.8,2025-02-05 00:00:00,1034.4,1.8,8.0,0,0,0.0,Aucune
